Observation;Y-Kappa;ChipRate;BF-CMratio;BlowFlow;ChipLevel4;T-upperExt-2;T-lowerExt-2;UCZAA;WhiteFlow-4;AAWhiteSt-4;AA-Wood-4;ChipMoisture-4;SteamFlow-4;Lower-HeatT-3;Upper-HeatT-3;ChipMass-4;WeakLiquorF;BlackFlow-2;WeakWashF;SteamHeatF-3;T-Top-Chips-4;SulphidityL-4
31-01:00;27.6;16.8;79;1328.4;341.3;351.1;329.1;1.5;537.2;6.1;16.5;44;60;330.8;304.9;163.2;666;1297.3;241.2;46.6;251.4;29.1
31-03:00;23.6;16.5;81;1334.9;213.5;350.9;331.1;1.6;623.4;6.1;16.6;45.6;68.5;328.9;302.3;181.5;767.9;1324.5;239.5;54.8;250.3;29
31-06:00;22.6;14.1;91.9;1307.9;289;352.3;331.2;1.5;625.5;6.1;16.6;45.8;71.3;329.7;301.5;179.9;837.2;1315.1;234;53.8;250;29.2
31-08:00;24.7;13.8;96.2;1334.9;362.5;352.4;327.4;1.5;553.2;6.2;16.6;45.5;64.2;332.3;305.4;166.1;909.8;1318.7;180.4;48.8;251.1;29.2
31-10:00;24.4;14.1;86;1330.1;394.2;348.1;319;1.4;540.6;6.2;16.7;45.3;62.2;329.8;302.7;163.3;827.1;1312.4;132.2;49.4;251.4;29.3
31-12:00;27.2;16.1;82.8;1332.3;366.9;350.1;327.4;1.5;527.9;6.2;16.7;44.5;60.3;330;302.9;160.6;771.2;1300;153.6;47.2;251.8;30.2
31-14:00;25.4;16.4;72.9;1197.8;118.8;350.8;329.8;1.6;585;6.2;16.8;45.5;65.5;329.8;302.9;175.6;756.2;1300;401.4;54.6;251;30.4
31-17:00;17.8;14;92.8;1204.5;61.8;353.6;330.5;1.5;623.2;6.2;16.8;45.4;67.8;331.6;304.9;183;909.8;1295.8;415.1;52.5;252.7;30.8
31-19:00;20.3;12.1;89.5;1180.2;300.6;348.6;318.9;1.5;577.1;6.1;16.8;45.8;66.9;329.5;306.1;173.1;731.7;1291.9;291.7;47.3;252.4;29.5
31-21:00;23;14.1;88.4;1191.7;374.7;346.3;318.6;1.5;515.4;6.1;16.8;46.1;62.3;328.7;304.1;154.3;748.1;1292.2;294.3;40.4;252.7;29.2
31-23:00;21.4;12.9;92.6;1191.8;229;347.4;326.7;1.6;521.8;6;16.8;46;60.5;328.4;303.2;152.9;763.1;1293.6;291.1;49.8;252.1;29.5
1-01:00 ;18.9;12.5;94.7;1188.2;302.1;346.8;323.4;1.5;541;6;16.8;45.2;60;328.5;304.2;155.9;803.1;1293.1;377.3;46.9;251.8;29.6
1-06:00 ;16.1;16.3;68.6;1094.9;246;344.5;321.1;1.6;509.8;6.1;16.9;47.1;60.2;325.4;301.6;152.4;659.3;1030.2;468.4;48.7;252.2;30.9
1-08:00 ;14.2;15.3;85.5;1171.6;198.5;344;325.2;1.4;628.2;6;18.6;46.2;65.2;322.1;298.5;165.8;826.2;907.6;595.9;52.8;249.6;30.3
1-10:00 ;12.2;12.7;114.6;1253.6;188;350.8;332.2;1.4;683.4;6.1;18.6;46.9;76.1;328.3;302.2;162.9;537.6;984.7;52;53.5;249;30.2
1-12:00 ;14.5;10.8;93.1;1202.8;339.1;342.5;324.2;1.3;601.7;6;18.4;45.1;64;322;299.9;146.6;602;838.9;48.6;41.5;251.6;30.6
1-14:00 ;24.3;13.9;87.8;1190.9;390.1;341.1;320.9;1.3;492.5;6.1;18.4;43.8;54.2;320;295.6;136.1;663.2;995.4;47.1;35.5;252.7;30.2
1-16:00 ;24.7;14.1;80.8;1171.7;104.2;340.2;319.8;1.4;563;6.1;18.4;44.9;61.1;318.9;295;159.9;734.6;997.2;239.9;45;252.5;30.4
1-18:00 ;23.6;14;84.9;1189.9;224.2;341.6;322;1.4;586.6;6.1;18.4;45.7;62.8;318.8;296;162.5;741.2;996.4;0;47.2;252;30
1-20:00 ;22;14.8;76.7;1220.8;228.3;343.4;321.6;1.5;624.6;6.1;18.4;46.6;64.7;319.6;297.2;172.6;796.3;994.9;400.1;48.1;251.4;30.4
1-22:00 ;20.7;16.2;75.3;1220.7;250.2;343.2;321.1;1.5;599.9;6.1;18.4;45;61;319.4;296.8;161.3;618.8;995.3;490.6;47.4;251.9;30
2-00:00 ;17.8;15.7;81.6;1282.2;186.2;346.3;323.1;1.6;664.6;6.1;18.3;45.3;66.8;319.9;297.4;170.2;722.7;997.7;0;53.7;251.2;30.3
2-01:00 ;17;15.1;87.4;1284.7;265.5;346.8;325;1.5;681.7;6;18.3;47;72.7;320.4;299;179.2;811.7;994;371.6;51.8;250.9;29.9
2-03:00 ;19.5;14.7;87;1291.2;311.7;346.4;325.5;1.5;665.8;6;18.2;46.6;72.2;320.1;298.3;177.5;800.7;995.3;314.2;49;251.1;30.1
2-05:00 ;20.8;15;80.7;1283.1;311.6;350.6;323;1.4;621.8;6.1;18;45.6;64.4;319.5;297.2;166.4;732.4;995.9;493.6;47.2;251.6;29.9
